FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,Posture
0,423,618,0,0,0,lean left
0,411,619,0,0,0,lean left
0,403,620,0,0,0,lean left
0,404,619,0,0,0,lean left
0,410,620,0,0,0,lean left
0,418,621,0,0,0,lean left
0,386,618,1,0,0,lean left
0,365,613,10,0,0,lean left
0,326,607,11,0,0,lean left
0,353,609,11,0,0,lean left
0,382,612,12,0,0,lean left
0,393,616,9,0,0,lean left
0,395,618,10,0,0,lean left
0,396,620,0,0,0,lean left
0,399,624,0,0,0,lean left
0,402,624,10,0,0,lean left
0,401,624,9,0,0,lean left
0,400,626,10,0,0,lean left
0,423,626,10,0,0,lean left
0,455,624,0,0,0,lean left
0,436,622,0,0,0,lean left
0,432,622,0,0,0,lean left
0,405,623,10,0,0,lean left
0,342,652,0,0,0,lean left
0,224,661,0,0,0,lean left
0,156,657,0,0,0,lean left
0,201,652,0,0,0,lean left
0,285,663,0,0,0,lean left
0,179,665,0,0,0,lean left
0,169,666,0,0,0,lean left
0,163,664,0,0,0,lean left
0,197,669,0,0,0,lean left
0,198,672,0,0,0,lean left
0,264,677,0,0,0,lean left
0,279,683,0,0,0,lean left
0,301,684,0,0,0,lean left
0,292,685,0,0,0,lean left
0,258,683,0,0,0,lean left
0,259,682,0,0,0,lean left
0,253,681,0,0,0,lean left
0,253,681,0,0,0,lean left
0,271,682,0,0,0,lean left
0,274,682,0,0,0,lean left
0,239,683,0,0,0,lean left
0,267,682,0,0,0,lean left
0,284,683,0,0,0,lean left
0,279,682,0,0,0,lean left
0,277,682,0,0,0,lean left
0,276,682,0,0,0,lean left
0,276,677,0,0,0,lean left
0,283,661,0,0,0,lean left
0,347,637,0,0,0,lean left
0,382,637,0,0,0,lean left
0,377,638,0,0,0,lean left
0,342,637,0,0,0,lean left
0,262,636,0,0,0,lean left
0,245,640,0,0,0,lean left
0,268,631,0,0,0,lean left
0,275,626,0,0,0,lean left
0,328,631,0,0,0,lean left
0,227,625,0,0,0,lean left
0,291,627,0,0,0,lean left
0,342,638,0,0,0,lean left
0,307,627,0,0,0,lean left
0,313,627,0,0,0,lean left
0,333,636,0,0,0,lean left
0,333,638,0,0,0,lean left
0,309,638,0,0,0,lean left
0,296,641,0,0,0,lean left
0,290,645,0,0,0,lean left
0,301,647,0,0,0,lean left
0,303,647,0,0,0,lean left
0,302,642,0,0,0,lean left
0,300,637,0,0,0,lean left
0,300,632,0,0,0,lean left
0,287,632,0,0,0,lean left
0,258,631,0,0,0,lean left
0,262,630,0,0,0,lean left
0,247,630,0,0,0,lean left
0,224,630,0,0,0,lean left
0,217,627,0,0,0,lean left
0,211,622,0,0,0,lean left
0,216,622,0,0,0,lean left
0,190,624,0,0,0,lean left
