FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,Posture
594,592,564,16,0,0,correct
594,594,566,14,0,0,correct
593,595,548,15,0,0,correct
593,595,549,14,0,0,correct
593,594,557,15,0,0,correct
594,593,567,15,1,0,correct
594,591,568,15,1,0,correct
594,588,572,15,0,0,correct
596,588,576,15,0,0,correct
593,584,590,14,0,0,correct
591,585,589,15,0,0,correct
594,582,589,15,0,1,correct
594,580,594,15,0,0,correct
594,577,603,16,0,1,correct
594,577,614,15,0,1,correct
595,577,623,15,0,0,correct
597,579,628,15,0,0,correct
593,579,626,15,0,0,correct
593,584,631,16,0,0,correct
593,583,628,15,0,0,correct
594,583,628,15,0,0,correct
594,582,629,15,1,0,correct
597,581,625,15,1,0,correct
597,579,617,15,0,0,correct
595,574,613,15,0,0,correct
593,576,601,15,0,0,correct
594,570,594,16,0,0,correct
594,566,594,16,0,0,correct
594,568,595,15,0,0,correct
597,567,593,16,0,0,correct
597,564,592,16,0,0,correct
600,560,589,15,0,0,correct
600,561,591,16,0,0,correct
597,562,582,16,0,0,correct
597,562,584,15,0,0,correct
598,563,588,14,0,0,correct
600,563,595,16,0,0,correct
602,564,600,15,0,0,correct
605,565,610,16,0,0,correct
606,573,619,15,0,0,correct
607,576,627,15,0,0,correct
602,579,629,16,0,0,correct
602,584,633,15,1,0,correct
602,586,637,15,0,1,correct
602,585,638,15,0,0,correct
602,586,639,16,0,0,correct
604,586,633,15,1,0,correct
604,584,628,16,0,0,correct
605,581,617,16,0,0,correct
605,565,606,15,0,0,correct
600,562,587,15,0,0,correct
597,564,586,16,0,0,correct
596,566,587,16,0,0,correct
596,568,584,15,1,0,correct
595,566,582,16,0,0,correct
596,566,583,15,0,0,correct
596,560,569,15,0,0,correct
597,563,565,15,0,0,correct
596,566,559,15,0,0,correct
596,567,557,15,0,0,correct
596,561,557,15,0,0,correct
596,558,557,15,0,0,correct
596,565,567,16,0,0,correct
596,559,554,15,1,0,correct
596,565,558,15,0,0,correct
600,563,571,15,1,1,correct
598,559,555,15,0,0,correct
608,568,567,16,0,0,correct
609,561,579,15,0,0,correct
609,568,586,15,0,0,correct
608,572,596,15,0,0,correct
