FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,Posture
781,4,594,5,358,5,slouch
782,16,596,16,368,6,slouch
781,5,592,5,363,5,slouch
782,5,592,6,365,4,slouch
781,5,593,5,362,5,slouch
782,5,593,5,362,5,slouch
782,5,593,4,360,4,slouch
782,5,594,5,360,5,slouch
782,4,594,4,360,4,slouch
782,6,594,5,360,5,slouch
782,4,593,4,360,5,slouch
782,6,591,5,364,5,slouch
782,4,592,4,362,4,slouch
784,5,592,5,364,5,slouch
784,4,591,4,363,4,slouch
784,5,592,5,364,5,slouch
784,4,592,5,364,4,slouch
788,29,601,28,383,35,slouch
784,4,593,4,365,4,slouch
785,6,592,6,366,5,slouch
784,5,591,4,365,5,slouch
784,4,590,5,367,5,slouch
784,4,590,4,368,4,slouch
782,5,590,5,367,5,slouch
781,4,590,4,366,4,slouch
780,5,591,5,366,5,slouch
780,4,592,4,364,4,slouch
780,5,593,5,362,5,slouch
780,4,592,4,363,4,slouch
780,5,592,5,363,5,slouch
779,4,592,4,363,4,slouch
780,6,592,5,364,5,slouch
780,4,592,4,363,4,slouch
781,7,593,7,363,7,slouch
780,6,593,6,362,5,slouch
781,6,593,6,363,7,slouch
780,6,592,6,363,6,slouch
780,7,593,7,364,7,slouch
781,6,592,6,364,5,slouch
782,6,593,6,364,6,slouch
781,6,593,5,363,6,slouch
780,7,593,6,364,17,slouch
784,43,606,43,387,42,slouch
779,6,593,6,364,6,slouch
780,7,593,7,364,7,slouch
781,5,592,6,364,6,slouch
783,7,592,6,366,7,slouch
783,5,591,6,366,5,slouch
783,7,592,7,368,7,slouch
783,6,591,6,368,5,slouch
784,6,592,7,370,7,slouch
782,5,591,6,369,6,slouch
783,7,590,7,370,7,slouch
782,5,590,6,369,6,slouch
783,7,592,7,370,7,slouch
782,6,592,5,368,5,slouch
781,8,593,7,369,7,slouch
782,5,593,6,368,5,slouch
780,7,594,7,367,7,slouch
781,5,595,6,366,5,slouch
780,7,595,7,366,7,slouch
780,6,596,5,366,6,slouch
780,8,596,6,366,7,slouch
