FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,Posture
629,381,0,15,0,1,lean right
630,375,0,16,0,0,lean right
629,389,0,16,0,0,lean right
631,401,0,15,0,0,lean right
630,374,0,16,0,0,lean right
630,363,0,15,0,0,lean right
631,357,0,15,0,0,lean right
632,372,0,16,0,0,lean right
631,364,0,15,0,0,lean right
631,367,0,15,0,0,lean right
631,352,0,15,0,0,lean right
631,373,0,15,0,0,lean right
629,395,0,16,1,0,lean right
626,415,1,16,0,0,lean right
630,421,0,16,1,0,lean right
628,419,0,16,0,1,lean right
628,420,1,15,0,0,lean right
629,429,0,15,0,0,lean right
627,427,1,15,0,0,lean right
625,412,0,15,0,0,lean right
624,418,1,15,0,0,lean right
625,434,0,14,0,0,lean right
626,429,0,15,0,1,lean right
626,429,0,15,1,0,lean right
625,430,1,15,1,1,lean right
627,448,0,15,0,0,lean right
630,452,0,16,0,0,lean right
632,450,0,15,0,0,lean right
632,448,0,15,0,0,lean right
633,432,1,15,0,1,lean right
632,441,0,16,0,0,lean right
632,478,0,16,0,1,lean right
630,460,0,16,0,0,lean right
629,457,0,16,0,0,lean right
629,458,1,15,0,0,lean right
629,448,0,15,0,1,lean right
630,444,0,15,0,0,lean right
631,441,0,16,0,0,lean right
629,442,0,15,0,2,lean right
629,449,0,16,1,0,lean right
628,451,1,15,0,0,lean right
621,458,0,16,0,0,lean right
621,461,1,15,0,0,lean right
617,466,1,16,0,0,lean right
619,463,0,15,0,0,lean right
619,453,1,15,0,0,lean right
620,447,1,15,0,0,lean right
621,454,0,15,0,1,lean right
621,460,1,15,2,0,lean right
621,456,0,15,1,0,lean right
623,455,1,16,0,0,lean right
624,461,0,15,0,0,lean right
624,469,0,15,0,0,lean right
622,469,0,15,0,0,lean right
623,470,1,15,0,1,lean right
622,467,0,14,1,0,lean right
621,465,0,16,0,0,lean right
621,463,0,15,1,0,lean right
620,471,0,16,0,1,lean right
620,467,0,16,0,0,lean right
621,471,0,15,0,0,lean right
